,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,OuterLoop,Exact Core Nodes,Exact Core Edges,Exact Core Out Edges,Outerplanar Core Nodes,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.01,5,0,1336,5036,4742,1494,0.820178,5.565627,0.994012,0.884154
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.02,5,0,1336,5036,4742,1419,0.820178,5.565627,0.984281,0.913194
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.03,5,0,1336,5036,4742,1364,0.820178,5.565627,0.962575,0.909477
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.04,5,0,1336,5036,4742,1333,0.820178,5.565627,0.94985,0.906429
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.05,5,0,1336,5036,4742,1298,0.820178,5.565627,0.928892,0.890883
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.06,5,0,1336,5036,4742,1265,0.820178,5.565627,0.907186,0.87257
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.07,5,0,1336,5036,4742,1229,0.820178,5.565627,0.885479,0.856006
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.08,5,0,1336,5036,4742,1187,0.820178,5.565627,0.86003,0.836245
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.09,5,0,1336,5036,4742,1153,0.820178,5.565627,0.837575,0.816788
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.1,5,0,1336,5036,4742,1130,0.820178,5.565627,0.821856,0.802632
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.15,5,0,1336,5036,4742,952,0.820178,5.565627,0.699102,0.689808
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.01,10,0,1336,5036,4742,1526,0.881245,5.626694,0.997754,0.871812
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.02,10,0,1336,5036,4742,1446,0.881245,5.626694,0.989521,0.905479
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.03,10,0,1336,5036,4742,1404,0.881245,5.626694,0.97979,0.914745
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.04,10,0,1336,5036,4742,1367,0.881245,5.626694,0.967066,0.915663
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.05,10,0,1336,5036,4742,1345,0.881245,5.626694,0.955838,0.909544
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.06,10,0,1336,5036,4742,1317,0.881245,5.626694,0.941617,0.901792
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.07,10,0,1336,5036,4742,1291,0.881245,5.626694,0.92515,0.888569
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.08,10,0,1336,5036,4742,1265,0.881245,5.626694,0.907934,0.873919
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.09,10,0,1336,5036,4742,1233,0.881245,5.626694,0.889222,0.860246
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.1,10,0,1336,5036,4742,1205,0.881245,5.626694,0.871257,0.845316
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.15,10,0,1336,5036,4742,1074,0.881245,5.626694,0.783683,0.768158
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.01,100,0,1336,5036,4742,1576,1.278273,6.023722,0.999251,0.846544
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.02,100,0,1336,5036,4742,1492,1.278273,6.023722,0.993263,0.884077
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.03,100,0,1336,5036,4742,1440,1.278273,6.023722,0.988024,0.906593
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.04,100,0,1336,5036,4742,1412,1.278273,6.023722,0.982784,0.914983
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.05,100,0,1336,5036,4742,1380,1.278273,6.023722,0.973802,0.919435
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.06,100,0,1336,5036,4742,1355,1.278273,6.023722,0.960329,0.911222
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.07,100,0,1336,5036,4742,1337,1.278273,6.023722,0.950599,0.905203
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.08,100,0,1336,5036,4742,1321,1.278273,6.023722,0.942365,0.900572
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.09,100,0,1336,5036,4742,1306,1.278273,6.023722,0.932635,0.89255
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.1,100,0,1336,5036,4742,1284,1.278273,6.023722,0.91991,0.883537
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.15,100,0,1336,5036,4742,1175,1.278273,6.023722,0.850299,0.826182
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.01,500,0,1336,5036,4742,1753,2.122949,6.868398,1,0.762122
,CA-GrQc_component,4158,13428,0.000777,1336,7,0.02,500,0,1336,5036,4742,1649,2.122949,6.868398,0.999251,0.809091
