,Size,Edges,Density,Input Size,Outerplanar Generation Time,Outerplanar Time,Outerplanar New Time,Tree Time,Graph Time,Samples,Avg. Component Number,Std. Component Number,Avg. Biggest Component,Std. Biggest Component,Avg. Face Number,Std. Face Number
,1000,1080,0.008000,10,0.640817,0.259154,0.089772,0.040886,14.133317,100,250.450000,26.018010,252.370000,111.906766,25.940000,10.803871
,1000,1095,0.010000,10,0.648527,0.270176,0.091785,0.044779,15.369992,100,206.100000,17.720330,255.500000,96.487765,29.530000,11.865794
,1000,1062,0.006000,10,0.677695,0.277365,0.095258,0.042765,12.649521,100,316.910000,28.377717,252.740000,119.375109,22.010000,10.537566
,1000,1110,0.012000,10,0.653010,0.270992,0.089734,0.041525,16.823018,100,184.050000,19.664034,239.530000,91.010317,31.180000,12.616632
,1000,1122,0.014000,10,0.671891,0.271446,0.089848,0.040040,17.489252,100,163.690000,22.479933,238.990000,83.529405,33.790000,12.027993
,1000,1134,0.016000,10,0.685046,0.277694,0.093173,0.045873,19.000469,100,145.650000,18.543629,230.320000,85.438132,35.010000,12.327595
,1000,1145,0.018000,10,0.683155,0.283030,0.094278,0.042361,19.194738,100,138.730000,20.513536,217.910000,82.155568,34.940000,12.463134
,1000,1154,0.020000,10,0.693961,0.281212,0.097287,0.043424,19.885362,100,127.770000,18.078870,220.080000,89.701940,37.940000,14.963133
,2000,2154,0.006000,20,1.335339,1.088581,0.237355,0.092225,64.714365,100,353.490000,34.524913,457.720000,163.792372,41.660000,15.131224
,2000,2188,0.008000,20,1.355997,1.112012,0.231448,0.095960,71.451183,100,287.620000,30.397960,440.480000,169.815912,47.240000,19.145440
,2000,2217,0.010000,20,1.310843,1.078774,0.213665,0.094880,72.425368,100,247.980000,30.095129,370.290000,141.891429,44.740000,17.720399
,2000,2244,0.012000,20,1.323520,1.092089,0.202783,0.098778,75.258818,100,226.060000,28.824029,331.240000,114.301490,44.390000,15.440269
,2000,2266,0.014000,20,1.367935,1.108968,0.201127,0.096667,77.580612,100,210.250000,27.547342,302.260000,87.699858,44.020000,13.003480
,2000,2289,0.016000,20,1.366648,1.115554,0.204510,0.095609,80.750260,100,191.820000,23.854517,288.750000,104.220471,44.080000,16.344573
,2000,2311,0.018000,20,1.390528,1.129537,0.206749,0.095039,82.525339,100,186.000000,25.649542,279.660000,81.483123,46.310000,14.134773
,2000,2331,0.020000,20,1.354587,1.119171,0.202134,0.096798,83.018897,100,180.440000,23.728821,260.690000,75.691518,46.460000,13.919988
,3000,3247,0.006000,30,2.017016,2.512708,0.388530,0.150836,157.810716,100,391.630000,40.299048,564.040000,223.411923,52.260000,20.218314
,3000,3299,0.008000,30,2.006895,2.498296,0.350972,0.146498,167.713417,100,317.710000,38.306129,485.980000,184.605338,53.220000,19.565265
,3000,3343,0.010000,30,1.963118,2.435886,0.334808,0.150105,171.688755,100,293.070000,39.101075,440.300000,173.159266,54.250000,21.133235
,3000,3377,0.012000,30,2.005401,2.511061,0.322068,0.159202,179.291582,100,267.000000,29.645038,390.000000,115.659811,52.290000,15.940733
,3000,3414,0.014000,30,2.050595,2.570200,0.323898,0.156116,188.370934,100,260.420000,36.072368,358.530000,123.701127,52.130000,17.672472
,3000,3478,0.018000,30,2.018846,2.567526,0.307317,0.160332,192.631251,100,239.370000,30.224966,304.910000,105.160973,50.760000,16.748357
,3000,3446,0.016000,30,2.115126,2.642011,0.326922,0.167011,204.321029,100,244.890000,37.281863,343.190000,100.044404,53.110000,15.723556
,3000,3508,0.020000,30,2.078782,2.587978,0.323578,0.160213,198.473980,100,228.780000,32.028895,315.970000,105.154668,55.540000,18.366867
,4000,4343,0.006000,40,2.701121,4.526831,0.534793,0.206509,306.022113,100,425.110000,46.015565,632.320000,195.506226,58.800000,19.548954
,4000,4407,0.008000,40,2.595143,4.353642,0.482026,0.211130,297.934064,100,367.050000,42.692553,548.640000,198.635727,59.790000,21.040267
,4000,4466,0.010000,40,2.578439,4.347214,0.453500,0.203054,307.821401,100,327.610000,39.440249,484.520000,171.504011,59.660000,21.775354
,4000,4517,0.012000,40,2.719339,4.522486,0.438165,0.204970,326.320307,100,319.250000,42.167625,410.050000,126.517167,55.830000,17.767895
,4000,4563,0.014000,40,2.722374,4.573711,0.436327,0.206826,334.507578,100,298.980000,33.705192,372.060000,126.769402,54.970000,18.159481
,4000,4606,0.016000,40,2.760322,4.537688,0.445972,0.217208,340.186911,100,291.970000,36.511367,368.100000,111.925525,58.490000,17.204941
,4000,4644,0.018000,40,2.785030,4.583192,0.430608,0.223163,349.550429,100,291.520000,33.656458,321.070000,94.196791,53.100000,15.065849
,4000,4686,0.020000,40,2.816180,4.644323,0.439548,0.221294,358.558793,100,288.110000,30.456757,317.520000,95.214747,56.590000,16.452623
,5000,5437,0.006000,50,3.313271,7.080115,0.674274,0.260212,475.781575,100,446.880000,46.909817,705.060000,267.770059,65.110000,24.979141
,5000,5519,0.008000,50,3.356408,7.176801,0.619297,0.257862,512.176799,100,401.850000,43.010775,597.940000,218.389783,66.020000,23.575788
,5000,5590,0.010000,50,3.447883,7.420675,0.594792,0.269774,535.869887,100,379.780000,41.688499,492.640000,163.675555,60.600000,19.828558
,5000,5651,0.012000,50,3.615182,7.665106,0.585917,0.287828,569.252451,100,357.140000,48.152540,442.330000,129.900666,60.020000,17.870454
,5000,5709,0.014000,50,3.421526,7.219358,0.561488,0.277807,542.554931,100,345.530000,41.816930,410.470000,127.597018,61.230000,20.097668
,5000,5762,0.016000,50,3.425992,7.360934,0.541823,0.273254,555.755405,100,337.780000,37.640667,377.000000,103.073574,59.660000,16.940311
,5000,5817,0.018000,50,3.432869,7.286329,0.545892,0.269841,566.196517,100,336.230000,45.931626,348.350000,92.181680,58.740000,15.729802
,5000,5863,0.020000,50,3.520993,7.597306,0.562381,0.283619,602.290965,100,330.130000,36.464915,342.930000,96.689052,60.860000,17.155863
,6000,6535,0.006000,60,4.015183,10.459070,0.816219,0.308698,708.392546,100,502.790000,58.562113,710.050000,250.134363,67.440000,22.978391
,6000,6634,0.008000,60,4.064999,10.479654,0.756945,0.311580,745.741262,100,437.740000,52.089399,637.290000,233.312912,70.940000,25.910421
,6000,6711,0.010000,60,4.254088,10.964386,0.713593,0.332388,790.704963,100,420.210000,47.795925,501.370000,153.393246,61.910000,19.150702
,6000,6793,0.012000,60,4.298814,11.288435,0.701828,0.343880,825.803627,100,405.020000,43.353837,463.300000,115.754748,63.880000,15.955924
,6000,6858,0.014000,60,4.210160,11.081293,0.678927,0.339348,835.967119,100,401.010000,43.192661,414.740000,100.889340,60.220000,15.077966
,6000,6925,0.016000,60,4.324148,11.121876,0.689598,0.353747,851.347290,100,398.380000,46.664022,383.970000,100.697613,60.680000,15.153677
,6000,6984,0.018000,60,4.187663,11.021620,0.668314,0.320586,853.854883,100,392.210000,43.551037,361.540000,91.014420,60.760000,16.057422
,6000,7040,0.020000,60,4.191591,10.878749,0.666496,0.328085,850.437115,100,391.840000,43.674582,346.250000,103.044599,61.640000,18.497349
,7000,7631,0.006000,70,4.651345,14.134253,0.969024,0.366688,967.858599,100,536.230000,64.252321,757.110000,255.041486,71.770000,23.804700
,7000,7742,0.008000,70,4.727409,14.588696,0.887388,0.372480,1040.740368,100,480.380000,54.209057,605.740000,172.175775,67.350000,19.747586
,7000,7838,0.010000,70,4.773937,14.979661,0.837217,0.400617,1066.224718,100,466.810000,53.331571,533.090000,136.480664,66.670000,16.544434
,7000,7929,0.012000,70,4.767494,15.188051,0.805338,0.372781,1103.138112,100,452.380000,47.538136,480.170000,150.015626,65.480000,20.876491
,7000,8007,0.014000,70,4.785035,14.841842,0.804328,0.388334,1109.410390,100,437.100000,40.379888,445.130000,111.215294,65.830000,16.147086
,7000,8081,0.016000,70,4.871689,14.854880,0.787664,0.396756,1114.239949,100,443.060000,47.026066,385.360000,103.110465,61.470000,15.727127
,7000,8155,0.018000,70,5.182804,15.576374,0.808231,0.414542,1215.289668,100,441.870000,47.117445,372.470000,98.089266,63.130000,16.954875
,7000,8221,0.020000,70,5.031427,15.345338,0.799014,0.379571,1184.369941,100,433.780000,45.198681,359.000000,91.781581,64.290000,16.283036
,8000,8729,0.006000,80,5.589580,20.442611,1.148260,0.446355,1390.507182,100,563.680000,55.076967,809.060000,276.103363,76.690000,25.737484
,8000,8854,0.008000,80,5.565635,20.643171,1.048453,0.460578,1430.717277,100,522.840000,55.571361,659.670000,178.705845,73.070000,19.704512
,8000,8964,0.010000,80,5.549036,20.812841,0.972408,0.450073,1509.699181,100,503.200000,52.516279,559.270000,161.398988,70.310000,19.792201
,8000,9069,0.012000,80,5.809946,21.773507,0.961679,0.466727,1601.692620,100,506.480000,49.354721,493.730000,143.861876,68.230000,19.744251
,8000,9155,0.014000,80,6.046623,22.259103,0.931524,0.445324,1655.950372,100,493.910000,52.918480,437.210000,116.194220,64.130000,16.822697
,8000,9240,0.016000,80,5.979499,22.546078,0.937702,0.472996,1713.390101,100,494.770000,54.111903,403.830000,96.194779,64.650000,15.727718
,8000,9324,0.018000,80,6.151762,22.701083,0.938587,0.502411,1759.964317,100,482.340000,42.336607,385.160000,97.102853,65.020000,16.178911
,8000,9399,0.020000,80,5.958176,22.195506,0.953982,0.471991,1752.169508,100,481.690000,51.607238,367.790000,77.743725,65.600000,13.685501
,9000,9826,0.006000,90,6.563814,29.039725,1.310762,0.543344,2013.572143,100,604.580000,68.132992,803.670000,261.151145,77.140000,25.747813
,9000,9965,0.008000,90,6.489192,28.493601,1.229748,0.530843,2008.671117,100,560.890000,66.435492,655.800000,177.786502,73.210000,19.491151
,9000,10084,0.010000,90,6.532945,28.309738,1.144824,0.540263,2012.156983,100,552.250000,50.030168,590.240000,153.855903,72.380000,18.678449
,9000,10201,0.012000,90,6.530823,27.527924,1.071174,0.512320,2014.862604,100,545.480000,50.750823,501.150000,120.366475,68.250000,16.106574
,9000,10307,0.014000,90,6.573462,27.573057,1.038791,0.552119,2031.644538,100,544.190000,49.620722,446.070000,108.438155,66.230000,15.987277
,9000,10401,0.016000,90,6.405438,26.383853,1.019057,0.496931,1998.855458,100,535.910000,59.895885,423.480000,111.945647,67.600000,17.358955
,9000,10493,0.018000,90,6.283481,26.015417,1.011359,0.477744,2043.129590,100,537.310000,55.044095,383.710000,89.508455,65.360000,15.750915
,9000,10575,0.020000,90,6.245632,26.032487,1.022842,0.493730,2044.746677,100,539.450000,55.708182,382.050000,86.322086,67.710000,14.506909
,10000,10921,0.006000,100,6.628995,32.141361,1.389667,0.553308,2195.197382,100,644.590000,59.677940,843.230000,248.686199,80.420000,24.203339
,10000,11076,0.008000,100,6.703839,31.956557,1.228606,0.552489,2241.098480,100,610.470000,61.366667,657.080000,181.573631,73.980000,20.507195
,10000,11214,0.010000,100,6.807493,31.662635,1.176996,0.546900,2279.491912,100,594.370000,56.553122,614.910000,187.636286,76.610000,24.245751
,10000,11339,0.012000,100,6.872221,31.863943,1.118838,0.577014,2308.687342,100,589.030000,60.438708,531.860000,135.943914,72.500000,19.153025
,10000,11454,0.014000,100,6.828346,31.598801,1.103752,0.539463,2342.287573,100,583.790000,59.101572,469.160000,113.414563,69.440000,16.759933
,10000,11558,0.016000,100,6.689898,30.569728,1.088687,0.526518,2348.740086,100,592.920000,54.518587,425.320000,114.529153,67.730000,18.825544
,10000,11660,0.018000,100,6.647738,29.851292,1.076211,0.521616,2341.649923,100,588.900000,54.560225,394.120000,85.567893,66.980000,14.425693
,10000,11757,0.020000,100,6.592960,29.432884,1.062107,0.518388,2329.706130,100,595.440000,52.717528,368.370000,79.086023,65.790000,13.967708
