,Size,Edges,Density,Outerplanar Time,Outerplanar Struct Time,BFS Time,Snap BFS,DFS Time,Factor,Samples,Not Outerplanar Samplings,Not Maximal Samplings,Avg. Maximal Output Edges,Std. Maximal Output Edges,Avg. Output Edges,Std. Output Edges,Avg. Missing Edges per Graph,Std. Missing Edges per Graph,Avg. % of Maximal outerplanar graph,Std. % of Maximal outerplanar graph,Avg. Component Number,Std. Component Number,Avg. Biggest Component,Std. Biggest Component,Avg. Face Number,Std. Face Number
,1000,3996,0.008000,0.362203,0.722963,0.307560,0.617745,0.310558,1.177666,100,0,0,-nan,0.000000,1079.790000,5.232561,-nan,0.000000,-nan,0.000000,247.510000,27.162621,265.700000,114.359216,27.190000,11.837020
,1000,4995,0.010000,0.412012,0.741502,0.359340,0.741291,0.357812,1.146580,100,0,0,-nan,0.000000,1095.580000,5.895007,-nan,0.000000,-nan,0.000000,208.540000,24.963578,275.330000,130.292372,32.340000,15.550647
,1000,5994,0.012000,0.515843,0.844825,0.448562,0.954272,0.457753,1.149993,100,0,0,-nan,0.000000,1109.960000,6.454065,-nan,0.000000,-nan,0.000000,176.760000,21.999596,255.070000,118.518997,33.320000,15.000256
,1000,7992,0.016000,0.583430,0.797071,0.516097,1.071181,0.516590,1.130466,100,0,0,-nan,0.000000,1133.200000,6.383375,-nan,0.000000,-nan,0.000000,149.060000,21.369675,220.830000,88.267964,33.510000,12.652700
,1000,6993,0.014000,0.598770,0.903116,0.520034,1.080154,0.530140,1.151405,100,0,0,-nan,0.000000,1122.220000,8.097362,-nan,0.000000,-nan,0.000000,160.370000,18.736156,238.900000,89.237907,33.340000,12.221210
,1000,8991,0.018000,0.642911,0.801275,0.563312,1.190922,0.565257,1.141305,100,0,0,-nan,0.000000,1144.690000,7.182604,-nan,0.000000,-nan,0.000000,136.370000,18.914830,230.710000,97.849017,37.220000,15.027638
,1000,9990,0.020000,0.714391,0.830293,0.618558,1.378030,0.624170,1.154930,100,0,0,-nan,0.000000,1154.420000,8.326882,-nan,0.000000,-nan,0.000000,128.340000,17.807739,209.910000,71.512391,35.980000,12.141406
,1000,2997,0.006000,0.344102,0.789071,0.284655,0.586556,0.293231,1.208839,100,0,0,-nan,0.000000,1062.350000,4.533545,-nan,0.000000,-nan,0.000000,317.010000,25.833771,245.010000,102.944478,21.500000,8.915428
,2000,15992,0.008000,1.222909,1.643134,1.084637,2.229698,1.102258,1.127482,100,0,0,-nan,0.000000,2188.500000,8.541639,-nan,0.000000,-nan,0.000000,292.650000,33.797787,373.600000,140.615171,40.730000,15.166320
,2000,19990,0.010000,1.389948,1.596997,1.249744,2.562825,1.245508,1.112186,100,0,0,-nan,0.000000,2219.490000,8.516763,-nan,0.000000,-nan,0.000000,249.700000,30.150297,371.490000,133.867905,45.820000,16.283709
,2000,11994,0.006000,0.870356,1.364467,0.757193,1.595826,0.756799,1.149451,100,0,0,-nan,0.000000,2154.210000,8.021807,-nan,0.000000,-nan,0.000000,352.680000,37.816644,474.660000,206.432723,43.280000,19.198106
,2000,23988,0.012000,1.451990,1.456507,1.285655,2.764965,1.289654,1.129378,100,0,0,-nan,0.000000,2243.280000,9.764996,-nan,0.000000,-nan,0.000000,222.010000,27.187525,368.430000,122.404137,48.390000,16.249255
,2000,27986,0.014000,1.551820,1.424425,1.421745,3.241007,1.441441,1.091490,100,0,0,-nan,0.000000,2268.160000,10.374522,-nan,0.000000,-nan,0.000000,206.750000,25.381682,329.750000,119.179381,47.820000,18.008629
,2000,31984,0.016000,1.786422,1.471051,1.650502,3.867329,1.632852,1.082351,100,0,0,-nan,0.000000,2289.440000,10.229014,-nan,0.000000,-nan,0.000000,195.180000,22.625355,299.250000,101.153287,46.500000,16.259574
,2000,35982,0.018000,1.892784,1.413147,1.753528,4.119935,1.769130,1.079415,100,0,0,-nan,0.000000,2312.580000,10.898225,-nan,0.000000,-nan,0.000000,190.870000,26.956626,256.770000,74.313675,42.810000,11.835314
,2000,39980,0.020000,2.080867,1.416380,1.902163,4.501132,1.925902,1.093948,100,0,0,-nan,0.000000,2332.690000,11.842992,-nan,0.000000,-nan,0.000000,181.910000,25.291471,263.110000,81.090285,46.160000,14.785824
,3000,26991,0.006000,1.601150,1.913356,1.417353,3.013057,1.422653,1.129676,100,0,0,-nan,0.000000,3249.480000,10.411222,-nan,0.000000,-nan,0.000000,394.560000,46.618443,578.250000,221.693590,54.360000,22.148042
,3000,35988,0.008000,1.939289,1.935615,1.751347,3.684620,1.773227,1.107313,100,0,0,-nan,0.000000,3297.990000,10.826917,-nan,0.000000,-nan,0.000000,322.610000,36.936444,505.320000,193.025559,54.940000,21.266857
,3000,44985,0.010000,2.234552,1.885465,2.077096,4.576588,2.073500,1.075806,100,0,0,-nan,0.000000,3337.770000,10.771131,-nan,0.000000,-nan,0.000000,292.780000,32.045605,428.860000,161.278291,52.680000,19.873275
,3000,53982,0.012000,2.680923,1.968640,2.465474,5.871552,2.470002,1.087386,100,0,0,-nan,0.000000,3381.420000,12.565931,-nan,0.000000,-nan,0.000000,274.480000,36.717452,384.100000,131.571811,52.240000,17.804846
,3000,62979,0.014000,3.062146,1.997829,2.811752,6.987477,2.809375,1.089053,100,0,0,-nan,0.000000,3414.550000,11.407401,-nan,0.000000,-nan,0.000000,252.210000,29.608658,377.580000,127.408290,54.610000,18.174182
,3000,71976,0.016000,3.281937,1.918785,3.057774,7.585616,3.067155,1.073309,100,0,0,-nan,0.000000,3445.670000,15.105725,-nan,0.000000,-nan,0.000000,243.530000,34.407967,326.320000,102.673837,51.080000,16.339010
,4000,47988,0.006000,2.539094,2.521583,2.340288,4.682633,2.356647,1.084949,100,0,0,-nan,0.000000,4345.380000,11.758324,-nan,0.000000,-nan,0.000000,422.470000,46.220695,651.180000,244.775485,61.260000,22.815740
,3000,80973,0.018000,3.651556,1.961613,3.408356,8.342707,3.402999,1.071354,100,0,0,-nan,0.000000,3478.370000,13.014875,-nan,0.000000,-nan,0.000000,238.160000,32.841745,316.390000,105.630086,52.640000,17.440531
,4000,63984,0.008000,3.207021,2.533583,2.902383,6.277400,2.907052,1.104961,100,0,0,-nan,0.000000,4409.690000,11.971933,-nan,0.000000,-nan,0.000000,370.540000,41.216948,539.240000,202.025057,59.020000,22.583171
,3000,89970,0.020000,3.994053,1.978385,3.724302,8.977029,3.728406,1.072430,100,0,0,-nan,0.000000,3506.710000,13.176575,-nan,0.000000,-nan,0.000000,234.280000,30.472070,300.530000,99.331041,52.210000,16.420789
,4000,79980,0.010000,4.032739,2.660991,3.718208,8.721001,3.709256,1.084592,100,0,0,-nan,0.000000,4464.040000,12.381903,-nan,0.000000,-nan,0.000000,338.500000,41.001725,469.210000,157.608856,58.010000,19.422207
,4000,95976,0.012000,4.697413,2.713332,4.268263,10.684083,4.285388,1.100544,100,0,0,-nan,0.000000,4515.340000,15.719267,-nan,0.000000,-nan,0.000000,312.720000,35.944143,422.210000,118.334340,57.480000,16.393815
,5000,74985,0.006000,4.083911,3.379976,3.666386,7.911044,3.734912,1.113879,100,0,0,-nan,0.000000,5441.620000,14.408036,-nan,0.000000,-nan,0.000000,456.670000,49.634025,686.850000,231.428169,64.870000,21.991576
,4000,111972,0.014000,5.460948,2.767456,4.967187,12.448721,5.014752,1.099405,100,0,0,-nan,0.000000,4561.600000,13.790642,-nan,0.000000,-nan,0.000000,306.970000,37.175656,388.850000,112.417456,57.290000,16.325784
,5000,99980,0.008000,5.134489,3.449927,4.717479,11.063118,4.751965,1.088397,100,0,0,-nan,0.000000,5521.760000,13.911786,-nan,0.000000,-nan,0.000000,406.670000,47.301110,594.330000,210.285235,65.220000,23.062313
,4000,127968,0.016000,6.102205,2.836338,5.489403,13.406210,5.500581,1.111634,100,0,0,-nan,0.000000,4608.410000,14.962644,-nan,0.000000,-nan,0.000000,292.290000,36.346340,367.350000,107.175244,59.060000,16.945438
,4000,143964,0.018000,6.763085,2.849022,6.151129,14.147172,6.148299,1.099487,100,0,0,-nan,0.000000,4647.160000,15.088774,-nan,0.000000,-nan,0.000000,285.990000,35.999578,343.420000,98.041754,57.830000,16.825339
,5000,124975,0.010000,6.047486,3.377860,5.631294,14.385573,5.670296,1.073907,100,0,0,-nan,0.000000,5588.070000,14.861825,-nan,0.000000,-nan,0.000000,379.930000,42.710975,494.030000,160.136650,61.600000,19.173319
,4000,159960,0.020000,7.401555,2.862578,6.853005,14.928140,6.780658,1.080045,100,0,0,-nan,0.000000,4683.940000,15.393702,-nan,0.000000,-nan,0.000000,280.250000,31.772669,312.230000,77.897220,55.340000,13.385670
,6000,107982,0.006000,5.673134,4.118573,5.171312,11.440987,5.248916,1.097040,100,0,0,-nan,0.000000,6535.860000,13.697320,-nan,0.000000,-nan,0.000000,490.030000,50.851031,717.890000,247.732256,67.990000,23.245069
,5000,149970,0.012000,7.056418,3.389955,6.501326,16.887280,6.567615,1.085381,100,0,0,-nan,0.000000,5652.510000,16.663330,-nan,0.000000,-nan,0.000000,361.570000,45.930614,455.920000,152.540286,62.620000,20.569557
,6000,143976,0.008000,7.090001,4.184057,6.476366,16.297851,6.548673,1.094750,100,0,0,-nan,0.000000,6629.460000,14.981079,-nan,0.000000,-nan,0.000000,433.240000,55.940105,614.670000,197.631790,66.820000,22.407331
,5000,174965,0.014000,8.184100,3.581903,7.538855,19.189817,7.523147,1.085589,100,0,0,-nan,0.000000,5710.300000,17.915909,-nan,0.000000,-nan,0.000000,355.320000,40.857446,401.810000,118.196096,59.410000,17.297804
,5000,199960,0.016000,9.170023,3.489582,8.387962,20.350104,8.492824,1.093236,100,0,0,-nan,0.000000,5765.520000,18.008685,-nan,0.000000,-nan,0.000000,348.840000,37.808320,367.680000,92.632420,57.760000,15.079667
,7000,146979,0.006000,7.394278,4.689398,6.607106,14.983964,6.701493,1.119140,100,0,0,-nan,0.000000,7634.920000,15.551595,-nan,0.000000,-nan,0.000000,547.530000,61.355802,719.570000,250.575751,69.720000,23.212710
,6000,179970,0.010000,8.543608,4.061375,7.982161,20.782357,7.965552,1.070338,100,0,0,-nan,0.000000,6712.010000,17.649503,-nan,0.000000,-nan,0.000000,419.220000,46.129502,508.380000,122.679329,62.920000,15.822679
,5000,224955,0.018000,10.472516,3.603108,9.546100,21.819468,9.606487,1.097047,100,0,0,-nan,0.000000,5816.520000,17.490245,-nan,0.000000,-nan,0.000000,337.000000,40.379263,348.230000,98.533372,58.520000,16.292453
,5000,249950,0.020000,11.202406,3.500501,10.495124,22.238501,10.348662,1.067391,100,0,0,-nan,0.000000,5859.740000,18.301416,-nan,0.000000,-nan,0.000000,335.010000,36.191269,320.670000,86.549228,57.170000,15.855442
,6000,215964,0.012000,10.252820,4.266911,9.402803,24.943049,9.502756,1.090400,100,0,0,-nan,0.000000,6787.910000,16.636394,-nan,0.000000,-nan,0.000000,408.500000,42.768699,463.110000,131.282708,62.730000,17.754701
,7000,195972,0.008000,9.590457,4.854458,8.716048,22.220318,8.984327,1.100322,100,0,0,-nan,0.000000,7739.410000,16.000691,-nan,0.000000,-nan,0.000000,488.210000,59.645467,642.800000,185.516968,70.440000,20.935360
,8000,191976,0.006000,9.481211,5.385737,8.765827,19.958919,8.566414,1.081611,100,0,0,-nan,0.000000,8725.900000,16.464532,-nan,0.000000,-nan,0.000000,561.720000,56.506383,766.760000,249.567914,72.410000,24.429695
,6000,251958,0.014000,11.656994,4.167161,10.555069,27.314323,10.751225,1.104398,100,0,0,-nan,0.000000,6862.630000,16.375428,-nan,0.000000,-nan,0.000000,398.240000,44.450658,415.570000,109.327444,62.300000,15.531330
,7000,244965,0.010000,11.020089,4.609612,10.213001,26.700907,10.414191,1.079026,100,0,0,-nan,0.000000,7841.050000,18.807034,-nan,0.000000,-nan,0.000000,465.150000,51.325732,550.500000,178.450825,68.330000,22.332680
,6000,287952,0.016000,12.916797,4.114323,12.013213,28.579852,11.960657,1.075216,100,0,0,-nan,0.000000,6924.970000,15.898958,-nan,0.000000,-nan,0.000000,390.000000,44.220293,371.100000,83.068610,59.470000,13.266846
,6000,323946,0.018000,14.288483,4.138243,13.367383,29.675353,13.477517,1.068907,100,0,0,-nan,0.000000,6983.920000,20.267743,-nan,0.000000,-nan,0.000000,394.410000,41.970190,374.750000,105.505457,63.460000,17.342317
,8000,255968,0.008000,11.754503,5.190777,10.688703,27.793162,10.764316,1.099713,100,0,0,-nan,0.000000,8857.210000,16.663815,-nan,0.000000,-nan,0.000000,530.140000,55.741108,621.720000,171.647576,68.070000,18.585459
,7000,293958,0.012000,13.534952,4.689876,11.996163,30.537720,12.029023,1.128273,100,0,0,-nan,0.000000,7932.300000,17.134347,-nan,0.000000,-nan,0.000000,439.550000,43.490711,496.850000,143.125810,69.410000,21.477776
,9000,242973,0.006000,11.648344,5.964281,10.626905,26.236572,10.608594,1.096118,100,0,0,-nan,0.000000,9825.620000,16.522271,-nan,0.000000,-nan,0.000000,618.920000,68.454022,789.090000,216.089679,75.700000,21.160999
,6000,359940,0.020000,15.501171,4.161535,14.604770,30.041934,14.456360,1.061377,100,0,0,-nan,0.000000,7039.750000,20.773611,-nan,0.000000,-nan,0.000000,387.480000,43.636348,323.840000,89.566151,57.860000,16.205760
,7000,342951,0.014000,15.171937,4.749206,13.861001,32.940497,13.979217,1.094577,100,0,0,-nan,0.000000,8007.120000,19.805254,-nan,0.000000,-nan,0.000000,451.610000,49.422911,423.290000,111.188465,62.350000,15.671743
,8000,319960,0.010000,14.614632,5.384641,13.400986,35.033162,13.542621,1.090564,100,0,0,-nan,0.000000,8965.930000,18.783861,-nan,0.000000,-nan,0.000000,504.800000,54.188411,522.130000,127.762378,65.970000,16.770859
,7000,391944,0.016000,17.183535,4.737075,15.568963,33.620499,15.688385,1.103705,100,0,0,-nan,0.000000,8081.600000,18.762201,-nan,0.000000,-nan,0.000000,442.710000,50.867285,398.640000,116.903182,63.030000,17.769259
,9000,323964,0.008000,14.768894,5.948069,13.570586,36.375961,13.488542,1.088302,100,0,0,-nan,0.000000,9967.620000,19.652424,-nan,0.000000,-nan,0.000000,562.560000,65.369705,680.160000,213.550776,75.470000,22.810353
,10000,299970,0.006000,14.056076,6.568519,13.027536,33.227066,13.046255,1.078951,100,0,0,-nan,0.000000,10922.110000,20.708118,-nan,0.000000,-nan,0.000000,638.680000,63.835312,828.330000,265.953138,79.440000,25.536000
,8000,383952,0.012000,16.770664,5.332887,15.325657,37.981783,15.320487,1.094287,100,0,0,-nan,0.000000,9068.970000,20.276102,-nan,0.000000,-nan,0.000000,495.340000,54.056876,486.050000,114.457824,66.940000,15.940432
,7000,440937,0.018000,18.715737,4.828361,17.237647,34.193650,17.227236,1.085748,100,0,0,-nan,0.000000,8153.280000,18.378776,-nan,0.000000,-nan,0.000000,441.910000,49.490147,365.000000,88.216103,61.660000,15.390683
,7000,489930,0.020000,20.418536,4.747746,18.808332,35.367046,18.982504,1.085611,100,0,0,-nan,0.000000,8218.860000,20.381721,-nan,0.000000,-nan,0.000000,438.710000,42.612725,346.450000,86.019187,61.860000,14.558152
,8000,447944,0.014000,19.244171,5.413572,17.688648,39.940496,17.776867,1.087939,100,0,0,-nan,0.000000,9156.510000,20.535997,-nan,0.000000,-nan,0.000000,485.140000,57.776130,452.620000,113.357375,67.680000,17.671457
,9000,404955,0.010000,18.134731,6.116226,16.733971,44.582932,16.728105,1.083708,100,0,0,-nan,0.000000,10091.860000,20.600588,-nan,0.000000,-nan,0.000000,551.680000,54.520848,558.020000,161.397807,70.310000,19.660603
,10000,399960,0.008000,18.302051,6.567054,16.596991,46.037376,16.663376,1.102733,100,0,0,-nan,0.000000,11077.610000,19.759102,-nan,0.000000,-nan,0.000000,595.810000,60.509069,677.620000,224.512886,76.110000,25.384675
,8000,511936,0.016000,21.995600,5.541172,20.177977,41.479123,20.167565,1.090080,100,0,0,-nan,0.000000,9246.000000,23.163887,-nan,0.000000,-nan,0.000000,482.300000,43.368168,422.130000,116.083795,66.840000,18.036282
,9000,485946,0.012000,21.248832,6.131513,19.486190,48.619001,19.623701,1.090456,100,0,0,-nan,0.000000,10202.210000,21.881358,-nan,0.000000,-nan,0.000000,539.060000,54.473573,496.700000,119.368583,68.090000,15.528465
,8000,575928,0.018000,24.364401,5.494609,22.338164,43.855939,22.439921,1.090707,100,0,0,-nan,0.000000,9322.380000,24.088968,-nan,0.000000,-nan,0.000000,482.200000,49.207251,388.140000,94.682886,65.390000,16.475200
,10000,499950,0.010000,21.661753,6.668244,19.980707,52.967327,20.054833,1.084133,100,0,0,-nan,0.000000,11214.710000,21.431260,-nan,0.000000,-nan,0.000000,585.540000,69.052523,591.260000,176.292550,74.500000,23.157999
,9000,566937,0.014000,24.623700,6.250952,22.700235,50.639424,22.607441,1.084733,100,0,0,-nan,0.000000,10306.270000,21.235027,-nan,0.000000,-nan,0.000000,540.600000,51.388990,464.630000,133.710577,68.380000,18.815843
,8000,639920,0.020000,26.922379,5.541511,25.192513,46.546287,24.985430,1.068666,100,0,0,-nan,0.000000,9397.930000,23.033684,-nan,0.000000,-nan,0.000000,482.030000,47.000420,358.900000,74.906878,63.980000,13.650752
,9000,647928,0.016000,27.866160,6.237634,25.673964,52.488900,25.684086,1.085386,100,0,0,-nan,0.000000,10399.010000,21.286642,-nan,0.000000,-nan,0.000000,537.330000,51.563250,426.750000,83.665686,67.890000,14.237449
,10000,599940,0.012000,25.837248,6.815522,24.067689,58.347964,23.849219,1.073524,100,0,0,-nan,0.000000,11342.360000,23.013619,-nan,0.000000,-nan,0.000000,580.800000,59.004023,508.810000,119.712593,70.520000,16.364830
,9000,728919,0.018000,30.358452,6.023516,28.173506,54.045683,28.188042,1.077553,100,0,0,-nan,0.000000,10490.140000,24.732517,-nan,0.000000,-nan,0.000000,538.030000,50.893919,373.940000,78.059783,63.430000,13.694543
,10000,699930,0.014000,29.289527,6.646311,27.097590,59.324714,27.075037,1.080890,100,0,0,-nan,0.000000,11454.920000,25.053752,-nan,0.000000,-nan,0.000000,584.370000,56.594902,478.120000,131.244108,71.920000,20.648418
,9000,809910,0.020000,33.421596,5.988537,31.043599,57.390048,30.968557,1.076602,100,0,0,-nan,0.000000,10579.860000,24.377511,-nan,0.000000,-nan,0.000000,546.620000,52.475445,374.120000,92.458812,66.530000,16.229699
,10000,799920,0.016000,33.137039,6.673805,30.930506,62.064132,30.625986,1.071338,100,0,0,-nan,0.000000,11561.690000,25.603304,-nan,0.000000,-nan,0.000000,591.340000,60.364251,454.450000,123.268728,71.770000,19.262595
,10000,899910,0.018000,36.828050,6.589055,34.506634,65.659621,34.583440,1.067274,100,0,0,-nan,0.000000,11659.780000,21.801019,-nan,0.000000,-nan,0.000000,590.600000,52.774343,389.050000,74.311571,65.980000,13.104845
,10000,999900,0.020000,40.322158,6.515214,37.812575,70.615964,37.737904,1.066369,100,0,0,-nan,0.000000,11755.850000,27.707846,-nan,0.000000,-nan,0.000000,590.040000,48.956365,370.940000,80.226173,65.950000,14.140261
